category,keyword,pc_monthly_search,mobile_monthly_search,total_monthly_search,competition
기타,고온그리스,20,50,70,높음
기타,연마제,690,2,430,3120,중간
기타,특수그리스,< 10,< 10,10,높음
기타,유화제,630,1,710,2340,높음
오일/소모품,고온오일,< 10,< 10,10,높음
기타,비이온성계면활성제,20,10,30,높음
기타,친환경계면활성제,< 10,10,15,높음
기타,ANTICORIT,< 10,< 10,10,중간
기타,ISOVG320,10,< 10,15,중간
기타,TURBOT32,< 10,< 10,10,높음
기타,모빌구리스,10,60,70,높음
기타,몰리나10,10,10,20,중간
기타,포밍유,< 10,< 10,10,낮음
기타,액상그리스,< 10,< 10,10,높음
기타,액체구리스,30,80,110,높음
기타,액체그리스,20,50,70,높음
기타,주름관구리스,10,70,80,중간
기타,주름관그리스,< 10,< 10,10,중간
진공펌프 일반,진공그리스,50,40,90,높음
기타,테프론파우더,< 10,< 10,10,중간
기타,실리콘잉곳,30,50,80,높음
기타,저온구리스,< 10,10,15,중간
기타,몰리화이트,< 10,10,15,높음
기타,EMRO,130,100,230,중간
기타,EVAPORUST,< 10,10,15,중간
기타,유류재고측정자,< 10,< 10,10,중간
주변기기/부품,유류탱크게이지,< 10,20,25,높음
기타,특수구리스,< 10,< 10,10,높음
기타,AFE-CA,40,10,50,높음
기타,DRYSURF,10,< 10,15,중간
기타,HP-300,20,10,30,높음
기타,KANTOKASEI,10,10,20,높음
기타,KRYTOXGPL205,10,< 10,15,높음
기타,LDC2577D,10,< 10,15,높음
기타,LG2GREASE,< 10,< 10,10,중간
기타,MULTEMP,< 10,< 10,10,높음
기타,NYELUBRICANTS,< 10,< 10,10,낮음
기타,SK-1A,< 10,< 10,10,중간
기타,UD-321,< 10,< 10,10,중간
기타,VIGOGREASERE0,10,< 10,15,중간
기타,관동화성,< 10,< 10,10,중간
기타,초고온구리스,< 10,< 10,10,높음
기타,크라이톡스,130,170,300,높음
진공펌프 일반,탱크로리펌프,< 10,20,25,높음
기타,LITHIUM,230,740,970,높음
기타,MORI,120,530,650,낮음
기타,ISOFLEXNBU15,20,< 10,25,높음
기타,고온용그리스,10,< 10,15,높음
기타,계면활성제,1,470,4,690,6160,높음
기타,고온윤활유,< 10,< 10,10,높음
진공펌프 일반,진공구리스,100,110,210,높음
기타,음이온계면활성제,50,90,140,높음
기타,루브리플레이트,< 10,< 10,10,중간
기타,쉘대리점,30,30,60,중간
기타,증주제,10,10,20,중간
기타,크루버,< 10,10,15,중간
기타,음이온성계면활성제,10,20,30,높음
기타,점증제,120,210,330,높음
기타,테크루브,10,< 10,15,높음
기타,MOLYKOTE,170,100,270,중간
기타,ROCOL,40,20,60,중간
기타,칸토카세이,40,30,70,높음
응용분야,진공함침,20,10,30,높음
기타,실리콘그리스,220,460,680,중간
기타,내열그리스,50,130,180,높음
기타,BARRIERTA,< 10,< 10,10,중간
기타,MOS2,110,200,310,중간
기타,HITALUBE280,< 10,< 10,10,중간
기타,샌드가루,< 10,< 10,10,높음
기타,SCI파우더,< 10,< 10,10,낮음
기타,소듐코코일이세티오네이트,60,110,170,중간
기타,COPPER,1,780,3,190,4970,중간
기타,불소그리스,20,10,30,높음
기타,몰리코트,210,240,450,중간
기타,THERMINOL66,< 10,< 10,10,높음
기타,비이온계면활성제,60,180,240,높음
기타,ABRASIVE,400,650,1050,높음
기타,소듐코코일이세치오네이트,10,< 10,15,높음
기타,듀폰코리아,530,850,1380,높음
진공펌프 일반,진공설비,10,< 10,15,높음
기타,AUTOGREASE,< 10,< 10,10,높음
기타,SAPPHIREPREMIER,< 10,< 10,10,중간
기타,모빌기어유,< 10,< 10,10,높음
펌프종류,스크롤진공펌프,< 10,< 10,10,높음
응용분야,연구용진공펌프,< 10,< 10,10,낮음
기타,초전도,200,490,690,높음
기타,CRYOGENIC,310,250,560,높음
기타,냉동기,520,840,1360,높음
기타,액화질소,330,960,1290,높음
기타,극저온냉동기,< 10,< 10,10,높음
기타,WALCOM,< 10,10,15,중간
기타,이와타LPH-80,10,< 10,15,중간
기타,이와타슈퍼노바,< 10,30,35,높음
기타,이탈코,< 10,10,15,낮음
기타,캔스프레이,20,40,60,높음
오일/소모품,에어오일흡입기,< 10,10,15,높음
기타,데빌비스DV1,< 10,20,25,중간
기타,사타스프레이건,10,80,90,높음
진공펌프 일반,소형급수펌프,10,< 10,15,중간
진공펌프 일반,압력펌프,40,100,140,높음
진공펌프 일반,기체펌프,< 10,< 10,10,높음
진공펌프 일반,로터리로브펌프,20,< 10,25,높음
기타,CRYOMECH,< 10,< 10,10,중간
구매/견적,질소발생기가격,< 10,10,15,높음
진공펌프 일반,수족관펌프,70,220,290,높음
기타,KAMOER,10,< 10,15,높음
진공펌프 일반,내화학성펌프,10,< 10,15,높음
기타,초전도케이블,70,310,380,중간
오일/소모품,오일프리콤프레샤,40,20,60,높음
펌프종류,다이아프램,510,780,1290,높음
진공펌프 일반,유량펌프,10,10,20,높음
진공펌프 일반,소형자동펌프,10,50,60,높음
진공펌프 일반,식용유펌프,10,40,50,중간
기타,ULTRAGRADE19,< 10,< 10,10,중간
응용분야,동결건조기진공펌프,< 10,< 10,10,낮음
오일/소모품,에드워드펌프오일,< 10,< 10,10,높음
진공펌프 일반,진공펌프소모품,< 10,< 10,10,높음
응용분야,코팅기진공펌프,< 10,< 10,10,낮음
문제/증상,진공펌프소음,< 10,< 10,10,높음
펌프종류,로터리베인펌프,20,10,30,중간
문제/증상,진공펌프과열,< 10,< 10,10,낮음
오일/소모품,진공펌프오일누유,< 10,< 10,10,높음
문제/증상,진공펌프진공안됨,< 10,< 10,10,낮음
구매/견적,진공펌프견적,< 10,< 10,10,낮음
문제/증상,진공펌프이물질,< 10,< 10,10,낮음
구매/견적,에드워드펌프가격,< 10,< 10,10,낮음
구매/견적,진공펌프구매,< 10,10,15,중간
